date,time,freq,dB
2022-07-26,10:11:42,463.250,11.9
2022-07-26,10:12:13,462.225,80.1
2022-07-26,10:12:13,463.725,52.4
2022-07-26,10:12:16,462.226,68.9
2022-07-26,10:12:24,462.225,76.7
2022-07-26,10:12:24,463.725,49.5
2022-07-26,10:12:33,462.225,78.4
2022-07-26,10:12:33,463.725,45.7
2022-07-26,10:13:04,463.250,12.3
2022-07-26,10:14:31,463.250,12.1
2022-07-26,10:14:51,463.250,12.0
2022-07-26,10:14:58,463.250,12.1
2022-07-26,10:22:03,462.225,77.3
2022-07-26,10:22:03,463.725,50.1
2022-07-26,10:22:07,462.226,66.9
2022-07-26,10:22:16,462.225,71.5
2022-07-26,10:22:16,463.725,36.6
2022-07-26,10:22:19,462.225,74.0
2022-07-26,10:22:22,462.224,65.8
2022-07-26,10:22:25,462.325,78.7
2022-07-26,10:22:25,463.825,51.0
2022-07-26,10:22:29,462.325,77.1
2022-07-26,10:22:33,462.325,77.4
2022-07-26,10:22:36,462.325,77.7
2022-07-26,10:22:42,462.325,76.7
2022-07-26,10:22:42,463.825,49.3
2022-07-26,10:23:02,462.325,77.6
2022-07-26,10:23:13,462.325,77.4
2022-07-26,10:23:13,463.825,46.3
2022-07-26,10:23:24,462.325,69.2
2022-07-26,10:23:28,462.325,63.1
2022-07-26,10:23:32,462.325,60.6
2022-07-26,10:23:35,462.325,57.8
